CODI,Castellà,Català,Tipus de contracte
14770000-9,"Cesio, estroncio, rubidio y calcio","Cesi, estronci, rubidi i calci",Subministraments
14771000-6,Cesio,Cesi,Subministraments
14772000-3,Estroncio,Estronci,Subministraments
14773000-0,Rubidio,Rubidi,Subministraments
14774000-7,Calcio,Calci,Subministraments
14780000-2,"Potasio, magnesio, sodio y litio","Potassi, magnesi, sodi i liti",Subministraments
14781000-9,Potasio,Potassi,Subministraments
14782000-6,Magnesio,Magnesi,Subministraments
14783000-3,Sodio,Sodi,Subministraments
14784000-0,Litio,Liti,Subministraments
14790000-5,"Niobio, osmio, renio y paladio","Niobi, osmi, reni i pal·ladi",Subministraments
14791000-2,Niobio,Niobi,Subministraments
14792000-9,Osmio,Osmi,Subministraments
14793000-6,Renio,Reni,Subministraments
14794000-3,Paladio,Pal·ladi,Subministraments
14800000-9,Productos minerales no metálicos diversos,Productes minerals no metàl·lics diversos,Subministraments
14810000-2,Productos abrasivos,Productes abrasius,Subministraments
14811000-9,"Muelas, piedras y ruedas de amolar","Moles, moles d'esmolar i rodes d'esmolar",Subministraments
14811100-0,Muelas,Moles,Subministraments
14811200-1,Piedras de amolar,Moles d'esmolar,Subministraments
14811300-2,Ruedas de amolar,Rodes d'esmolar,Subministraments
14812000-6,Abrasivos en polvo o en grano,Pols o grans abrasius,Subministraments
14813000-3,Corindón artificial,Corindó artificial,Subministraments
14814000-0,Grafito artificial,Grafit artificial,Subministraments
14820000-5,Vidrio,Vidre,Subministraments
14830000-8,Fibras de vidrio,Fibres de vidre,Subministraments
14900000-0,Materias primas secundarias de recuperación,Matèries primeres secundàries de recuperació,Subministraments
14910000-3,Materias primas metálicas secundarias de recuperación,Matèries primeres metàl·liques secundàries de recuperació,Subministraments
14920000-6,Materias primas no metálicas secundarias de recuperación,Matèries primeres no metàl·liques secundàries de recuperació,Subministraments
14930000-9,Cenizas y residuos que contengan metales,Cendres i residus que contenen metalls,Subministraments
15000000-8,"Alimentos, bebidas, tabaco y productos afines","Aliments, begudes, tabac i productes afins",Subministraments
15100000-9,"Productos de origen animal, carne y productos cárnicos","Productes d'origen animal, carn i productes carnis",Subministraments
15110000-2,Carne,Carn,Subministraments
15111000-9,Carne de bovino,Carn de boví,Subministraments
15111100-0,Carne de vaca,Carn de bou,Subministraments
15111200-1,Carne de ternera,Carn de vedella,Subministraments
15112000-6,Aves de corral,Aviram,Subministraments
15112100-7,Aves de corral frescas,Aviram fresc,Subministraments
15112110-0,Gansos,Oques,Subministraments
15112120-3,Pavos,Galls dindi,Subministraments
15112130-6,Pollos,Pollastres,Subministraments
15112140-9,Patos,Ànecs,Subministraments
15112300-9,Hígados de aves de corral,Fetges d'aviram,Subministraments
15112310-2,Foie gras,Foie-gras,Subministraments
15113000-3,Carne de cerdo,Carn de porc,Subministraments
15114000-0,Despojos,Menuts,Subministraments
15115000-7,Cordero y carnero,Xai i moltó,Subministraments
15115100-8,Cordero,Xai,Subministraments
15115200-9,Carnero,Moltó,Subministraments
15117000-1,Carne de cabra,Carn de cabra,Subministraments
15118000-8,"Carne de caballo, asno, mulo o burdégano","Carn de cavall, ase, mul o somerí",Subministraments
15118100-9,Carne de caballo,Carn de cavall,Subministraments
15118900-7,"Carne de asno, mulo o burdégano","Carn d'ase, mul o somerí",Subministraments
15119000-5,Carnes diversas,Carns diverses,Subministraments
15119100-6,Carne de conejo,Carn de conill,Subministraments
15119200-7,Carne de liebre,Carn de llebre,Subministraments
15119300-8,Caza,Carn de caça,Subministraments
15119400-9,Ancas de rana,Anques de granota,Subministraments
15119500-0,Palomas,Coloms,Subministraments
15119600-1,Carne de pescado,Polpa de peix,Subministraments
15130000-8,Productos cárnicos,Productes carnis,Subministraments
15131000-5,Conservas y preparaciones cárnicas,Conserves i preparacions càrnies,Subministraments
15131100-6,Productos a base de carne para embutidos,Productes a base de carn per a embotits,Subministraments
15131110-9,Carne para embutidos,Carn per a embotits,Subministraments
15131120-2,Productos de charcutería,Productes de xarcuteria,Subministraments
15131130-5,Embutidos,Embotits,Subministraments
15131134-3,Morcillas y otros embutidos de sangre,Botifarrons i altres embotits de sang,Subministraments
15131135-0,Embutidos de carne de ave,Embotits d'aviram,Subministraments
15131200-7,"Carne seca, salada, ahumada o condimentada","Carn seca, salada, fumada o condimentada",Subministraments
15131210-0,Jamón ahumado,Pernil fumat,Subministraments
15131220-3,Beicon,Bacó,Subministraments
15131230-6,Salami,Salami,Subministraments
15131300-8,Preparaciones a base de hígado,Preparacions a base de fetge,Subministraments
15131310-1,Paté,Paté,Subministraments
15131320-4,Preparaciones a base de hígado de ganso o de pato,Preparacions a base de fetge d'oca o d'ànec,Subministraments
15131400-9,Productos a base de carne de cerdo,Productes a base de carn de porc,Subministraments
15131410-2,Jamón,Pernil,Subministraments
15131420-5,Albóndigas,Mandonguilles,Subministraments
15131490-6,Platos preparados con carne de cerdo,Plats preparats amb carn de porc,Subministraments
15131500-0,Productos de volatería,Productes d'aviram,Subministraments
15131600-1,Productos a base de carne de vaca y de ternera,Productes a base de carn de bou i de vedella,Subministraments
15131610-4,Albóndigas de carne de vaca,Mandonguilles de carn de bou,Subministraments
15131620-7,Carne picada de vaca,Carn picada de bou,Subministraments
15131640-3,Hamburguesas de carne de vaca,Hamburgueses de carn de bou,Subministraments
15131700-2,Preparaciones a base de carne,Preparacions a base de carn,Subministraments
15200000-0,Pescado preparado y en conserva,Peix preparat i en conserva,Subministraments
15210000-3,"Filetes de pescado, hígados y huevas de pescado","Filets de peix, fetges de peix i ous de peix",Subministraments
15211000-0,Filetes de pescado,Filets de peix,Subministraments
15211100-1,Filetes de pescado fresco,Filets de peix fresc,Subministraments
15212000-7,Huevas,Ous de peix,Subministraments
15213000-4,Hígados de pescado,Fetges de peix,Subministraments
15220000-6,"Pescado, filetes de pescado y otros tipos de carne de pescado congelados","Peix, filets de peix i altres polpes de peix congelats",Subministraments
15221000-3,Pescado congelado,Peix congelat,Subministraments
15229000-9,Productos congelados de pescados,Productes de peix congelats,Subministraments
15230000-9,Pescado seco o salado; en salmuera; ahumado,Peix sec o salat; peix en salmorra; peix fumat,Subministraments
15231000-6,Pescado seco,Peix sec,Subministraments
15232000-3,Pescado salado,Peix salat,Subministraments
15233000-0,Pescado en salmuera,Peix en salmorra,Subministraments
15234000-7,Pescado ahumado,Peix fumat,Subministraments
15235000-4,Conservas de pescado,Conserves de peix,Subministraments
15240000-2,Pescado en conserva o en lata y otros pescados preparados o en conserva,Peix en conserva o en llauna i altres peixos preparats o en conserva,Subministraments
15241000-9,"Pescado empanado, en conserva o en lata","Peix arrebossat, en conserva o en llauna",Subministraments
15241100-0,Salmón en conserva,Salmó en conserva,Subministraments
15241200-1,Arenques preparados o en conserva,Arengades,Subministraments
15241300-2,Sardinas,Sardines,Subministraments
15241400-3,Atún en conserva,Tonyina en conserva,Subministraments
15241500-4,Caballa,Verat,Subministraments
15241600-5,Anchoas,Anxoves,Subministraments
15241700-6,Palitos de pescado,Bastonets de peix,Subministraments
15241800-7,Preparaciones a base de pescado empanado,Preparacions a base de peix arrebossat,Subministraments
15242000-6,Platos de pescado preparados,Plats de peix preparats,Subministraments
15243000-3,Preparaciones a base de pescado,Preparacions a base de peix,Subministraments
15244000-0,Caviar y huevos de peces,Caviar i ous de peix,Subministraments
15244100-1,Caviar,Caviar,Subministraments
15244200-2,Huevos de peces,Ous de peix,Subministraments
15250000-5,Mariscos,Marisc,Subministraments
15251000-2,Crustáceos congelados,Crustacis congelats,Subministraments
15252000-9,Crustáceos preparados o en conserva,Crustacis preparats o en conserva,Subministraments
15253000-6,Productos a base de moluscos,Productes a base de mol·luscs,Subministraments
15300000-1,"Frutas, legumbres y hortalizas y productos conexos","Fruites, hortalisses i productes afins",Subministraments
15310000-4,Patatas y productos a base de patatas,Patates i productes a base de patates,Subministraments
15311000-1,Patatas congeladas,Patates congelades,Subministraments
15311100-2,Patatas fritas,Patates fregides,Subministraments
15311200-3,"Patatas en dados, en rodajas y otras, congeladas","Patates congelades a daus, a rodanxes i altres",Subministraments
15312000-8,Productos a base de patatas,Productes a base de patates,Subministraments
15312100-9,Puré de patatas instantáneo,Puré de patates instantani,Subministraments
15312200-0,Patatas prefritas,Patates prefregides,Subministraments
15312300-1,Hojuelas de patatas,Xips de patata,Subministraments
15312310-4,Hojuelas de patatas condimentadas,Xips de patata condimentats,Subministraments
15312400-2,Aperitivos a base de patatas,Aperitius a base de patata,Subministraments
15312500-3,Croquetas de patatas,Croquetes de patata,Subministraments
15313000-5,Patatas elaboradas,Patates processades,Subministraments
15320000-7,Zumos de frutas y hortalizas,Sucs de fruites i hortalisses,Subministraments
15321000-4,Zumos de frutas,Sucs de fruites,Subministraments
15321100-5,Zumo de naranja,Suc de taronja,Subministraments
15321200-6,Zumo de pomelo,Suc de pomelo,Subministraments
15321300-7,Zumo de limón,Suc de llimona,Subministraments
15321400-8,Zumo de piña,Suc de pinya,Subministraments
15321500-9,Zumo de uva,Suc de raïm,Subministraments
15321600-0,Zumo de manzana,Suc de poma,Subministraments
15321700-1,Mezclas de zumos no concentrados,Mescles de sucs no concentrats,Subministraments
15321800-2,Zumos concentrados,Sucs concentrats,Subministraments
15322000-1,Zumos de hortalizas,Sucs d'hortalisses,Subministraments
15322100-2,Zumo de tomate,Suc de tomàquet,Subministraments
15330000-0,Frutas y hortalizas elaboradas,Fruites i hortalisses processades,Subministraments
15331000-7,Legumbres y hortalizas elaboradas,Hortalisses processades,Subministraments
15331100-8,Legumbres y hortalizas frescas o congeladas,Hortalisses fresques o congelades,Subministraments
15331110-1,Hortalizas de raíz elaboradas,Hortalisses d'arrel processades,Subministraments
15331120-4,Hortalizas de tubérculo elaboradas,Hortalisses de tubercle processades,Subministraments
15331130-7,"Judías, guisantes, pimientos, tomates y las demás legumbres y hortalizas","Mongetes, pèsols, pebrots, tomàquets i altres hortalisses",Subministraments
15331131-4,Judías elaboradas,Mongetes processades,Subministraments
15331132-1,Guisantes elaborados,Pèsols processats,Subministraments
15331133-8,Guisantes partidos,Pèsols partits,Subministraments
15331134-5,Tomates elaborados,Tomàquets processats,Subministraments
15331135-2,Setas elaboradas,Bolets processats,Subministraments
15331136-9,Pimientos elaborados,Pebrots processats,Subministraments
15331137-6,Brotes de soja,Brots de soia,Subministraments
15331138-3,Trufas,Tòfones,Subministraments
15331140-0,Hortalizas de hoja y coles,Hortalisses de fulla i cols,Subministraments
15331142-4,Repollos elaborados,Cols de cabdell processades,Subministraments
15331150-3,Legumbres elaboradas,Llegums elaborats,Subministraments
15331170-9,Legumbres y hortalizas congeladas,Hortalisses congelades,Subministraments
15331400-1,Legumbres y hortalizas en conserva y/o enlatadas,Hortalisses en conserva o enllaunades,Subministraments
15331410-4,Judías en salsa de tomate,Mongetes amb salsa de tomàquet,Subministraments
15331411-1,"Judías blancas cocidas, en salsa de tomate",Mongetes seques cuites amb salsa de tomàquet,Subministraments
15331420-7,Tomates en conserva,Tomàquets en conserva,Subministraments
15331423-8,Tomates enlatados,Tomàquets enllaunats,Subministraments
15331425-2,Puré de tomate,Puré de tomàquet,Subministraments
15331427-6,Puré de tomate concentrado,Puré de tomàquet concentrat,Subministraments
15331428-3,Salsa de tomate,Salsa de tomàquet,Subministraments
15331430-0,Champiñones enlatados,Bolets enllaunats,Subministraments
15331450-6,Aceitunas elaboradas,Olives processades,Subministraments
15331460-9,Legumbres y hortalizas enlatadas,Hortalisses enllaunades,Subministraments
15331461-6,Coles fermentadas enlatadas,Cols fermentades enllaunades,Subministraments
15331462-3,Guisantes enlatados,Pèsols enllaunats,Subministraments
15331463-0,Alubias desvainadas enlatadas,Mongetes estavellades enllaunades,Subministraments
15331464-7,Judías verdes enteras enlatadas,Mongetes tendres senceres enllaunades,Subministraments
15331465-4,Espárragos enlatados,Espàrrecs enllaunats,Subministraments
15331466-1,Aceitunas enlatadas,Olives enllaunades,Subministraments
15331470-2,Maíz dulce,Blat de moro dolç,Subministraments
15331480-5,Legumbres y hortalizas conservadas provisionalmente,Hortalisses conservades provisionalment,Subministraments
15331500-2,Hortalizas en vinagre,Hortalisses en vinagre,Subministraments
15332000-4,Frutas y frutos de cáscara elaborados,Fruites i fruites de closca processats,Subministraments
15332100-5,Frutas elaboradas,Fruites processades,Subministraments
15332140-7,Manzanas elaboradas,Pomes processades,Subministraments
15332150-0,Peras elaboradas,Peres processades,Subministraments
15332160-3,Plátanos elaborados,Plàtans processats,Subministraments
15332170-6,Ruibarbo,Ruibarbre,Subministraments
15332180-9,Melones,Melons,Subministraments
15332200-6,Compotas y mermeladas; jaleas de fruta; purés y pastas de fruta o de frutos de cáscara,Confitures i melmelades; gelees de fruita; purés i pastes de fruita o de fruits de closca,Subministraments
15332230-5,Mermeladas,Melmelades,Subministraments
15332231-2,Mermelada de naranja,Melmelada de taronja,Subministraments
15332232-9,Mermelada de limón,Melmelada de llimona,Subministraments
15332240-8,Jaleas de fruta,Gelees de fruita,Subministraments
15332250-1,Pastas de fruta,Pastes de fruita,Subministraments
15332260-4,Pasta de frutos de cáscara,Pasta de fruits de closca,Subministraments
15332261-1,Mantequilla de cacahuete,Mantega de cacauet,Subministraments
15332270-7,Purés de fruta,Purés de fruita,Subministraments
15332290-3,Compotas,Confitures,Subministraments
15332291-0,Compota de albaricoque,Confitura d'albercoc,Subministraments
